"Cikkszám","Termék Név","Nettó Ár","Bruttó Ár","Kategória","Raktárkészlet","Vásárolható, ha nincs Raktáron","Változatokhoz Raktárkészlet","Alacsony készlet","Paraméter: Minőség||text","Paraméter: Kiszerelés||enum","Paraméter: Szín||text","Paraméter: 1 m2 felülethez||text","Paraméter: Család||text","Paraméter: Kategória||text","Paraméter: Téli hangulat minta||text","Paraméter: Szélesség||text","Paraméter: Hossz||text","Paraméter: Méret||text","Paraméter: Ablakfólia típus||text","Paraméter: Beláthatóság||text","Paraméter: Felhelyezés||text","Paraméter: Felület||text","Paraméter: Hővisszaverés||text","Paraméter: Kopóréteg||text","Paraméter: Öntapadós padló|Padló|text","Paraméter: Padló típusa|Padló|text","Paraméter: UV védelem||text","Paraméter: Vastagság||text","Paraméter: Csomag kiszerelés||enum","Paraméter: Videó segítség|Videók|html","Paraméter: VIP ár||text","Paraméter: m2/doboz||text","Paraméter: m2/tekercs||text","Paraméter: m2/csomag||text","Paraméter: Felhelyezés nehézsége||text","Paraméter: Eltávolítható||text","Paraméter: Illesztés||text","Paraméter: Tisztítása||text","Paraméter: ELŐFIZETÉS||text","Paraméter: Konzultáció||enum","Paraméter: brand||text","Paraméter: ean||text","Paraméter: mpn||text","Paraméter: Lépésmélység||text","Paraméter: Lehajló perem||text","Paraméter: Áremelés||text","Paraméter: Szivacs színe||text","Paraméter: FJ-SKU||text","Paraméter: FJ-Beszállító||text","Paraméter: FJ-Listaár||num","Paraméter: FJ-UOM||text"
"274-5046","Klasszikus Fekete Fehér Öntapadós Padló ( 1 m2 - 30,5 cm x 30,5 cm - 11 db / doboz)","4629.92125984","5880","Padló|Öntapadós Padló","24","0","0","","Standard","Doboz","Mintás","","Öntapadós Padló","Padló","","","","30,5 cm  x  30,5 cm","","","Öntapadós","Padló","","0,07 mm","Igen","Öntapadós","","1.2 mm","11 db / doboz","","","1 m2","","","2","igen","Egymás mellé vagy elcsúsztatva","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","4007386684776","","","","","","","","",""
"274-5048","Kocka Stílusú Öntapadós Padló ( 1 m2 - 30,5 cm x 30,5 cm - 11 db / doboz)","4629.92125984","5880","Padló|Öntapadós Padló","41","0","0","","Standard","Doboz","Fahatású","","Öntapadós Padló","Padló","","","","30,5 cm  x  30,5 cm","","","Öntapadós","Padló","","0,07 mm","Igen","Öntapadós","","1.2 mm","11 db / doboz","","","1 m2","","","2","igen","Egymás mellé vagy elcsúsztatva","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","4007386684806","","","","","","","","",""
"P-T9001-36","Marco Öntapadós Padló (DOBOZ / 36 DB / 5m2)","28173.2283465","35780","Padló|Öntapadós Padló","38","0","0","","Standard","Doboz","Fahatású","7,2 darab szükséges","Öntapadós Padló","Padló","","","","15,24 x 91,44 cm","","","Öntapadós","5 m2","","0,3 mm","Igen","Öntapadós","","2 mm","36 db / doboz","","","","","","2","igen","Egymás mellé vagy elcsúsztatva","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","5999567462091","","","","","","","","",""
"P-T9001","Marco Öntapadós Padló 1 DB  (7,2 db / m2)","782.677165354","994","Padló|Öntapadós Padló","1372","0","0","","Standard","1 darabos","Fahatású","7,2 darab szükséges","Öntapadós Padló","Padló","","","","15,24 x 91,44 cm","","","Öntapadós","Padló","","0,3 mm","Igen","Öntapadós","","2 mm","1 db","","","","","","2","igen","Egymás mellé vagy elcsúsztatva","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","5999567462091","","","","","","","","",""
"274-5043","Marokkó Öntapadós Padló ( 1 m2 - 30,5 cm x 30,5 cm - 11 db / doboz)","4629.92125984","5880","Padló|Öntapadós Padló","42","0","0","","Standard","Doboz","Mintás","","Öntapadós Padló","Padló","","","","30,5 cm  x  30,5 cm","","","Öntapadós","Padló","","0,07 mm","Igen","Öntapadós","","1.2 mm","11 db / doboz","","","1 m2","","","2","igen","Egymás mellé vagy elcsúsztatva","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","4007386684745","","","","","","","","",""
"274-5047","Márvány Öntapadós Padló ( 1 m2 - 30,5 cm x 30,5 cm - 11 db / doboz)","4629.92125984","5880","Padló|Öntapadós Padló","0","0","0","","Standard","Doboz","Márvány mintás","","Öntapadós Padló","Padló","","","","30,5 cm  x  30,5 cm","","","Öntapadós","Padló","","0,07 mm","Igen","Öntapadós","","1.2 mm","11 db / doboz","","","1 m2","","","2","igen","Egymás mellé vagy elcsúsztatva","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","4007386684783","","","","","","","","",""
"274-5060","Menton Öntapadós Padló ( 1 m2 - 30,5 cm x 30,5 cm - 11 db / doboz)","4629.92125984","5880","Padló|Öntapadós Padló","86","0","0","","Standard","Doboz","Mintás","","Öntapadós Padló","Padló","","","","30,5 cm  x  30,5 cm","","","Öntapadós","Padló","","0,07 mm","Igen","Öntapadós","","1.2 mm","11 db / doboz","","","1 m2","","","2","igen","Egymás mellé vagy elcsúsztatva","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","4007386490070","","","","","","","","",""
"P-T9011-36","Mirko Öntapadós Padló (DOBOZ / 36 DB / 5m2)","28173.2283465","35780","Padló|Öntapadós Padló","19","0","0","","Standard","Doboz","Fahatású","","Öntapadós Padló","Padló","","","","15,24 x 91,44 cm","","","Öntapadós","5 m2","","0,3 mm","Igen","Öntapadós","","2 mm","36 db / doboz","","","","","","2","igen","Egymás mellé vagy elcsúsztatva","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","5999567462558","","","","","","","","",""
"P-T9011","Mirko Öntapadós Padló 1 DB  (7,2 db / m2)","782.677165354","994","Padló|Öntapadós Padló","788","0","0","","Standard","1 darabos","Fahatású","7,2  darab szükséges","Öntapadós Padló","Padló","","","","15,24 x 91,44 cm","","","Öntapadós","Padló","","0,3 mm","Igen","Öntapadós","","2 mm","1 db","","","","","","2","igen","Egymás mellé vagy elcsúsztatva","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","5999567462558","","","","","","","","",""
"P-T9007-36","Nicolas Öntapadós Padló (DOBOZ / 36 DB / 5m2)","28173.2283465","35780","Padló|Öntapadós Padló","0","0","0","","Standard","Doboz","Fahatású","7,2 darab szükséges","Öntapadós Padló","Padló","","","","15,24 x 91,44 cm","","","Öntapadós","5 m2","","0,3 mm","Igen","Öntapadós","","2 mm","36 db / doboz","","","","","","2","igen","Egymás mellé vagy elcsúsztatva","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","5999567462152","","","","","","","","",""
"P-T9007","Nicolas Öntapadós Padló 1 DB  (7,2 db / m2)","782.677165354","994","Padló|Öntapadós Padló","0","0","0","","Standard","1 darabos","Fahatású","7,2 darab szükséges","Öntapadós Padló","Padló","","","","15,24 x 91,44 cm","","","Öntapadós","Padló","","0,3 mm","Igen","Öntapadós","","2 mm","1 db","","","","","","2","igen","Egymás mellé vagy elcsúsztatva","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","5999567462152","","","","","","","","",""
"274-5057","Oktogon Öntapadós Padló ( 1 m2 - 30,5 cm x 30,5 cm - 11 db / doboz)","4629.92125984","5880","Padló|Öntapadós Padló","13","0","0","","Standard","Doboz","Márvány mintás","","Öntapadós Padló","Padló","","","","30,5 cm  x  30,5 cm","","","Öntapadós","Padló","","0,07 mm","Igen","Öntapadós","","1.2 mm","11 db / doboz","","","1 m2","","","2","igen","Egymás mellé vagy elcsúsztatva","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","4007386348555","","","","","","","","",""
"P-T9008","Öntapadós Padló - Gianni 1 Db","496.063","630","Padló|Öntapadós Padló","0","0","0","","Standard","1 darabos","Fahatású","7,2  darab szükséges","Öntapadós Padló","Padló","","","","15,24 x 91,44 cm","","","Öntapadós","Padló","","0,3 mm","Igen","Öntapadós","","2 mm","1 db","","","","","","2","igen","Egymás mellé vagy elcsúsztatva","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","5999567462169","","","","","","","","",""
"P-T9002","Öntapadós Padló - Lorenzo 1 Db","712.5984251968504","905","Padló|Öntapadós Padló","0","0","0","","Standard","1 darabos","Fahatású","7,2  darab szükséges","Öntapadós Padló","Padló","","","","15,24 x 91,44 cm","","","Öntapadós","Padló","","0,3 mm","Igen","Öntapadós","","2 mm","1 db","","","","","","2","igen","Egymás mellé vagy elcsúsztatva","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","5999567462107","","","","","","","","",""
"P-T9012-36","Osvaldo Öntapadós Padló (DOBOZ / 36 DB / 5m2)","28173.2283465","35780","Padló|Öntapadós Padló","99","0","0","","Standard","Doboz","Fahatású","","Öntapadós Padló","Padló","","","","15,24 x 91,44 cm","","","Öntapadós","5 m2","","0,3 mm","Igen","Öntapadós","","2 mm","36 db / doboz","","","","","","2","igen","Egymás mellé vagy elcsúsztatva","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","5999567462565","","","","","","","","",""
"P-T9012","Osvaldo Öntapadós Padló 1 DB  (7,2 db / m2)","782.677165354","994","Padló|Öntapadós Padló","3620","0","0","","Standard","1 darabos","Fahatású","7,2  darab szükséges","Öntapadós Padló","Padló","","","","15,24 x 91,44 cm","","","Öntapadós","Padló","","0,3 mm","Igen","Öntapadós","","2 mm","1 db","","","","","","2","igen","Egymás mellé vagy elcsúsztatva","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","5999567462565","","","","","","","","",""
"274-5059","Pepper Öntapadós Padló ( 1 m2 - 30,5 cm x 30,5 cm - 11 db / doboz)","4629.92125984","5880","Padló|Öntapadós Padló","35","0","0","","Standard","Doboz","Kőhatású","","Öntapadós Padló","Padló","","","","30,5 cm  x  30,5 cm","","","Öntapadós","Padló","","0,07 mm","Igen","Öntapadós","","1.2 mm","11 db / doboz","","","1 m2","","","2","igen","Egymás mellé vagy elcsúsztatva","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","4007386348579","","","","","","","","",""
"274-5062","Repello Öntapadós Padló ( 1 m2 - 30,5 cm x 30,5 cm - 11 db / doboz)","4629.92125984","5880","Padló|Öntapadós Padló","43","0","0","","Standard","Doboz","Kőhatású","","Öntapadós Padló","Padló","","","","30,5 cm  x  30,5 cm","","","Öntapadós","Padló","","0,07 mm","Igen","Öntapadós","","1.2 mm","11 db / doboz","","","1 m2","","","2","igen","Egymás mellé vagy elcsúsztatva","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","4007386492272","","","","","","","","",""
"274-5061","Ripost Öntapadós Padló ( 1 m2 - 30,5 cm x 30,5 cm - 11 db / doboz)","4629.92125984","5880","Padló|Öntapadós Padló","15","0","0","","Standard","Doboz","Mintás","","Öntapadós Padló","Padló","","","","30,5 cm  x  30,5 cm","","","Öntapadós","Padló","","0,07 mm","Igen","Öntapadós","","1.2 mm","11 db / doboz","","","1 m2","","","2","igen","Egymás mellé vagy elcsúsztatva","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","4007386490704","","","","","","","","",""
"P-T9004-36","Roberto Öntapadós Padló  (DOBOZ / 36 DB / 5m2)","28173.2283465","35780","Padló|Öntapadós Padló","61","0","0","","Standard","Doboz","Fahatású","7,2  darab szükséges","Öntapadós Padló","Padló","","","","15,24 x 91,44 cm","","","Öntapadós","5 m2","","0,3 mm","Igen","Öntapadós","","2 mm","36 db / doboz","","","","","","2","igen","Egymás mellé vagy elcsúsztatva","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","5999567462121","","","","","","","","",""
"P-T9004","Roberto Öntapadós Padló  1 DB  (7,2 db / m2)","782.677165354","994","Padló|Öntapadós Padló","2759","0","0","","Standard","1 darabos","Fahatású","7,2  darab szükséges","Öntapadós Padló","Padló","","","","15,24 x 91,44 cm","","","Öntapadós","Padló","","0,3 mm","Igen","Öntapadós","","2 mm","1 db","","","","","","2","igen","Egymás mellé vagy elcsúsztatva","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","5999567462121","","","","","","","","",""
"P-T9006-36","Salvo Öntapadós Padló (DOBOZ / 36 DB / 5m2)","28173.2283465","35780","Padló|Öntapadós Padló","0","0","0","","Standard","Doboz","Fahatású","7,2  darab szükséges","Öntapadós Padló","Padló","","","","15,24 x 91,44 cm","","","Öntapadós","5 m2","","0,3 mm","Igen","Öntapadós","","2 mm","36 db / doboz","","","","","","2","igen","Egymás mellé vagy elcsúsztatva","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","5999567462145","","","","","","","","",""
"P-T9006","Salvo Öntapadós Padló 1 DB  (7,2 db / m2)","782.677165354","994","Padló|Öntapadós Padló","0","0","0","","Standard","1 darabos","Fahatású","7,2  darab szükséges","Öntapadós Padló","Padló","","","","15,24 x 91,44 cm","","","Öntapadós","Padló","","0,3 mm","Igen","Öntapadós","","2 mm","1 db","","","","","","2","igen","Egymás mellé vagy elcsúsztatva","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","5999567462145","","","","","","","","",""
"274-5045","Sötét Pala Öntapadós Padló( 1 m2 - 30,5 cm x 30,5 cm - 11 db / doboz)","4629.92125984","5880","Padló|Öntapadós Padló","60","0","0","","Standard","Doboz","Betonhatású","","Öntapadós Padló","Padló","","","","30,5 cm x 30,5 cm","","","Öntapadós","Padló","","0,07 mm","Igen","Öntapadós","","1.2 mm","11 db / doboz","","","1 m2","","","2","igen","Egymás mellé vagy elcsúsztatva","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","4007386684769","","","","","","","","",""
"274-5040","Sötét Tölgy Öntapadós Padló ( 1 m2 - 30,5 cm x 30,5 cm - 11 db / doboz)","4629.92125984","5880","Padló|Öntapadós Padló","47","0","0","","Standard","Doboz","Fahatású","","Öntapadós Padló","Padló","","","","30,5 cm x 30,5 cm","","","Öntapadós","Padló","","0,07 mm","Igen","Öntapadós","","1.2 mm","11 db / doboz","","","1 m2","","","2","igen","Egymás mellé vagy elcsúsztatva","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","4007386684714","","","","","","","","",""
"274-5064","Stencil minta szürke (Stencil Motif grey) Öntapadós padló (30,5 cm x 30,5 cm ) (11 DB / m2)","511.8110236","650","Padló|Öntapadós Padló","220","0","0","","Standard","1 darabos","","","Padló","","","305  mm","305 mm","30,5 cm x 30,5 cm","","","","","","0,07 mm","Igen","Öntapadós","","1.2 mm","","","","","","","","Igen","Egymás mellé vagy elcsúsztatva","Általános tiszítószerrel, enyhén nedves ruhával","","","d-c-fix","4007386491831","","","","","","F2745064","Konrad Hornschuch AG","0.54","10"
"274-5064-11","Stencil minta szürke (Stencil Motif grey) Öntapadós padló (30,5 cm x 30,5 cm ) (DOBOZ / 11 DB /  1m2)","5106.2992","6485","Padló|Öntapadós Padló","20","0","0","","Standard","Doboz","","","Padló","","","305  mm","305 mm","30,5 cm x 30,5 cm","","","","","","0,07 mm","Igen","Öntapadós","","1.2 mm","11 db / doboz","","","1 m2","","","","Igen","Egymás mellé vagy elcsúsztatva","Általános tiszítószerrel, enyhén nedves ruhával","","","d-c-fix","","","","","","","","","",""
"274-5067","Stencil minta zöld  (Stencil Motif green) Öntapadós padló (30,5 cm x 30,5 cm ) (11 DB / m2)","511.8110236","650","Padló|Öntapadós Padló","185","0","0","","Standard","1 darabos","","","Padló","","","305  mm","305 mm","30,5 cm x 30,5 cm","","","","","","0,07 mm","Igen","Öntapadós","","1.2 mm","","","","","","","","Igen","Egymás mellé vagy elcsúsztatva","Általános tiszítószerrel, enyhén nedves ruhával","","","d-c-fix","4007386491862","","","","","","F2745067","Konrad Hornschuch AG","0.54","10"
"274-5067-11","Stencil minta zöld  (Stencil Motif green) Öntapadós padló (30,5 cm x 30,5 cm )(DOBOZ / 11 DB /  1m2)","5106.2992","6485","Padló|Öntapadós Padló","16","0","0","","Standard","Doboz","","","Padló","","","305  mm","305 mm","30,5 cm x 30,5 cm","","","","","","0,07 mm","Igen","Öntapadós","","1.2 mm","11 db / doboz","","","1 m2","","","","Igen","Egymás mellé vagy elcsúsztatva","Általános tiszítószerrel, enyhén nedves ruhával","","","d-c-fix","4007386491862","","","","","","F2745067","Konrad Hornschuch AG","0.54","10"
"274-5042","Szürke Fa Öntapadós Padló ( 1 m2 - 30,5 cm x 30,5 cm - 11 db / doboz)","4629.92125984","5880","Padló|Öntapadós Padló","0","0","0","","Standard","Doboz","Fahatású","","Öntapadós Padló","Padló","","","","30,5 cm x 30,5 cm","","","Öntapadós","Padló","","0,07 mm","Igen","Öntapadós","","1.2 mm","11 db / doboz","","","1 m2","","","2","igen","Egymás mellé vagy elcsúsztatva","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","","274-5042","","","","","","","",""
"274-5500","Szürke halszálka (Herringbone Grey) Öntapadós padló (30,5 cm X 61 cm )","9476.378","12035","Padló|Öntapadós Padló","16","0","0","","Premium","Doboz","","","Padló","","","305  mm","610 mm","30,5 cm X 61 cm","","","","","","","","","","1.2 mm","","","","","","","","","","","","","d-c-fix","4007386491879","","","","","","F2745500","Konrad Hornschuch AG","12.86","4"
"274-5044","Természetes Kő Öntapadós Padló ( 1 m2 - 30,5 cm x 30,5 cm - 11 db / doboz)","4629.92125984","5880","Padló|Öntapadós Padló","0","0","0","","Standard","Doboz","Kőhatású","","Öntapadós Padló","Padló","","","","30,5 cm x 30,5 cm","","","Öntapadós","Padló","","0,07 mm","Igen","Öntapadós","","1.2 mm","11 db / doboz","","","1 m2","","","2","igen","Egymás mellé vagy elcsúsztatva","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","4007386684752","","","","","","","","",""
"274-5049","Terrakotta Öntapadós Padló ( 1 m2 - 30,5 cm x 30,5 cm - 11 db / doboz)","4629.92125984","5880","Padló|Öntapadós Padló","42","0","0","","Standard","Doboz","Kőhatású","","Öntapadós Padló","Padló","","","","30,5 cm x 30,5 cm","","","Öntapadós","Padló","","0,07 mm","Igen","Öntapadós","","1.2 mm","11 db / doboz","","","1 m2","","","2","igen","Egymás mellé vagy elcsúsztatva","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","4007386684813","","","","","","","","",""
"274-5051","Tölgy Deszka Öntapadós Padló ( 1 m2 - 30,5 cm x 30,5 cm - 11 db / doboz)","4629.92125984","5880","Padló|Öntapadós Padló","13","0","0","","Standard","Doboz","Fahatású","","Öntapadós Padló","Padló","","","","30,5 cm x 30,5 cm","","","Öntapadós","Padló","","0,07 mm","Igen","Öntapadós","","1.2 mm","11 db / doboz","","","1 m2","","","2","igen","Egymás mellé vagy elcsúsztatva","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","4007386686879","","","","","","","","",""
"274-5055","Tölgy rusztikus mintás (Rustic Oak) Öntapadós padló (30,5 cm x 30,5 cm )","5208.6614","6615","Padló|Öntapadós Padló","19","0","0","","Standard","Doboz","","","Padló","","","305  mm","305 mm","30,5 cm x 30,5 cm","","","","","","","","","","1.2 mm","","","","","","","","","","","","","d-c-fix","4007386346773","","","","","","F2745055","Konrad Hornschuch AG","0.54","10"
"274-5041","Világos Tölgy Öntapadós Padló ( 1 m2 - 30,5 cm x 30,5 cm - 11 db / doboz)","4629.92125984","5880","Padló|Öntapadós Padló","72","0","0","","Standard","Doboz","Fahatású","","Öntapadós Padló","Padló","","","","30,5 cm x 30,5 cm","","","Öntapadós","Padló","","0,07 mm","Igen","Öntapadós","","1.2 mm","11 db / doboz","","","1 m2","","","2","igen","Egymás mellé vagy elcsúsztatva","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","4007386684721","","","","","","","","",""
"274-5066","Vintage virágok (Vintage Flowers) Öntapadós padló (30,5 cm x 30,5 cm ) (11 DB / m2)","511.8110236","650","Padló|Öntapadós Padló","176","0","0","","Standard","1 darabos","","","Padló","","","305  mm","305 mm","30,5 cm x 30,5 cm","","","","","","0,07 mm","Igen","Öntapadós","","1.2 mm","","","","","","","","Igen","Egymás mellé vagy elcsúsztatva","Általános tiszítószerrel, enyhén nedves ruhával","","","d-c-fix","4007386491855","","","","","","F2745066","Konrad Hornschuch AG","0.54","10"
"274-5066-11","Vintage virágok (Vintage Flowers) Öntapadós padló (30,5 cm x 30,5 cm ) (DOBOZ / 11 DB /  1m2)","5106.2992","6485","Padló|Öntapadós Padló","16","0","0","","Standard","Doboz","","","Padló","","","305  mm","305 mm","30,5 cm x 30,5 cm","","","","","","0,07 mm","Igen","Öntapadós","","1.2 mm","11 db / doboz","","","1 m2","","","","Igen","Egymás mellé vagy elcsúsztatva","Általános tiszítószerrel, enyhén nedves ruhával","","","d-c-fix","","","","","","","","","",""
"271-5059","Antracit kockák (Curtis anthrazit) Fürdőszoba szőnyeg (65 cm x 2 m  )","5755.9055","7310","Szőnyeg|Fürdőszoba szőnyeg","9","0","0","","Premium","Darab","","","Fürdőszoba szőnyeg","","","65 cm","2 m","65 cm x 2 m ","","","","","","","","","","","","","","","","","","","","","","","d-c-fix","4007386334060","","","","","","F2715059","Konrad Hornschuch AG","8.57","3"
"271-5060","Barcelona Fürdőszoba szőnyeg (65 cm x 2 m  )","5755.9055","7310","Szőnyeg|Fürdőszoba szőnyeg","9","0","0","","Premium","Darab","","","Fürdőszoba szőnyeg","","","65 cm","2 m","65 cm x 2 m ","","","","","","","","","","","","","","","","","","","","","","","d-c-fix","4007386334091","","","","","","F2715060","Konrad Hornschuch AG","8.57","3"
"271-5068","Barna bambusz (Bambuna brown) Fürdőszoba szőnyeg (65 cm x 2 m  )","6118.1102","7770","Szőnyeg|Fürdőszoba szőnyeg","27","0","0","","Premium","Darab","","","Fürdőszoba szőnyeg","","","65 cm","2 m","65 cm x 2 m ","","","","","","","","","","","","","","","","","","","","","","","d-c-fix","4007386490261","","","","","","F2715068","Konrad Hornschuch AG","8.57","3"
"271-5037","Barna deszka (Riverside) Fürdőszoba szőnyeg (65 cm x 2 m  )","5755.9055","7310","Szőnyeg|Fürdőszoba szőnyeg","9","0","0","","Premium","Darab","","","Fürdőszoba szőnyeg","","","65 cm","2 m","65 cm x 2 m ","","","","","","","","","","","","","","","","","","","","","","","d-c-fix","4007386315731","","","","","","F2715037","Konrad Hornschuch AG","8.57","3"
"271-5028","Bézs (Uni beige) Fürdőszoba szőnyeg (65 cm x 2 m  )","5755.9055","7310","Szőnyeg|Fürdőszoba szőnyeg","8","0","0","","Premium","Darab","","","Fürdőszoba szőnyeg","","","65 cm","2 m","65 cm x 2 m ","","","","","","","","","","","","","","","","","","","","","","","d-c-fix","4007386280404","","","","","","F2715028","Konrad Hornschuch AG","8.57","3"
"271-5029","Fekete (Uni black) Fürdőszoba szőnyeg (65 cm x 2 m  )","5755.9055","7310","Szőnyeg|Fürdőszoba szőnyeg","9","0","0","","Premium","Darab","","","Fürdőszoba szőnyeg","","","65 cm","2 m","65 cm x 2 m ","","","","","","","","","","","","","","","","","","","","","","","d-c-fix","4007386280411","","","","","","F2715029","Konrad Hornschuch AG","8.57","3"
"271-4051","Háromszögek (Cati gelb) Fürdőszoba szőnyeg (50 cm x 80 cm )","1897.6378","2410","Szőnyeg|Fürdőszoba szőnyeg","10","0","0","","Premium","Darab","","","Fürdőszoba szőnyeg","","","50 cm","80 cm","50 cm x 80 cm","","","","","","","","","","","","","","","","","","","","","","","d-c-fix","4007386319760","","","","","","F2714051","Konrad Hornschuch AG","2.83","5"
"271-4058","Kacskaringók (Ornament) Fürdőszoba szőnyeg (45 cm x 72 cm )","2106.2992","2675","Szőnyeg|Fürdőszoba szőnyeg","10","0","0","","Premium","Darab","","","Fürdőszoba szőnyeg","","","45 cm","72 cm","45 cm x 72 cm","","","","","","","","","","","","","","","","","","","","","","","d-c-fix","4007386319876","","","","","","F2714058","Konrad Hornschuch AG","3.14","5"
"271-5064","Kagylós (Kalero) Fürdőszoba szőnyeg (65 cm x 2 m  )","5755.9055","7310","Szőnyeg|Fürdőszoba szőnyeg","9","0","0","","Premium","Darab","","","Fürdőszoba szőnyeg","","","65 cm","2 m","65 cm x 2 m ","","","","","","","","","","","","","","","","","","","","","","","d-c-fix","4007386341174","","","","","","F2715064","Konrad Hornschuch AG","8.57","3"
"271-5033","Kavicsos (New Stones) Fürdőszoba szőnyeg (65 cm x 2 m )","5755.9055","7310","Szőnyeg|Fürdőszoba szőnyeg","9","0","0","","Premium","Darab","","","Fürdőszoba szőnyeg","","","65 cm","2 m","65 cm x 2 m","","","","","","","","","","","","","","","","","","","","","","","d-c-fix","4007386313478","","","","","","F2715033","Konrad Hornschuch AG","8.57","3"
"271-5025","Kék (Uni blau) Fürdőszoba szőnyeg (65 cm x 2 m  )","5755.9055","7310","Szőnyeg|Fürdőszoba szőnyeg","3","0","0","","Premium","Darab","","","Fürdőszoba szőnyeg","","","65 cm","2 m","65 cm x 2 m ","","","","","","","","","","","","","","","","","","","","","","","d-c-fix","4007386278944","","","","","","F2715025","Konrad Hornschuch AG","8.57","3"
"271-3182-1M","Kék formák (Kiruna blau) Fürdőszoba szőnyeg (65 cm x 1 m )","2283.4646","2900","Szőnyeg|Fürdőszoba szőnyeg","12","0","0","","Standard","Darab","","","Fürdőszoba szőnyeg","","","65 cm","1 m","65 cm x 1 m","","","","","","","","","","","","","","","","","","","","","","","d-c-fix","","","","","","","","Konrad Hornschuch AG","3.2","1"
"271-3182","Kék formák (Kiruna blau) Fürdőszoba szőnyeg (65 cm x 15 m )","33937.0079","43100","Szőnyeg|Fürdőszoba szőnyeg","4","0","0","","Standard","Darab","","","Fürdőszoba szőnyeg","","","65 cm","15 m","65 cm x 15 m","","","","","","","","","","","","","","","","","","","","","","","d-c-fix","4007386680853","","","","","","F2713182","Konrad Hornschuch AG","3.37","1"
"271-5070","Kék szövés (Ednico blue) Fürdőszoba szőnyeg (65 cm x 2 m  )","6118.1102","7770","Szőnyeg|Fürdőszoba szőnyeg","27","0","0","","Premium","Darab","","","Fürdőszoba szőnyeg","","","65 cm","2 m","65 cm x 2 m ","","","","","","","","","","","","","","","","","","","","","","","d-c-fix","4007386490292","","","","","","F2715070","Konrad Hornschuch AG","8.57","3"
"271-5030","Kék vadvilág (Wildlife) Fürdőszoba szőnyeg (65 cm x 2 m  )","5755.9055","7310","Szőnyeg|Fürdőszoba szőnyeg","9","0","0","","Premium","Darab","","","Fürdőszoba szőnyeg","","","65 cm","2 m","65 cm x 2 m ","","","","","","","","","","","","","","","","","","","","","","","d-c-fix","4007386313447","","","","","","F2715030","Konrad Hornschuch AG","8.57","3"
"271-5046","Kék-Fehér (Amera blau) Fürdőszoba szőnyeg (65 cm x 2 m )","5755.9055","7310","Szőnyeg|Fürdőszoba szőnyeg","9","0","0","","Premium","Darab","","","Fürdőszoba szőnyeg","","","65 cm","2 m","65 cm x 2 m","","","","","","","","","","","","","","","","","","","","","","","d-c-fix","4007386319692","","","","","","F2715046","Konrad Hornschuch AG","8.57","3"
"271-4056","Kék-Zöld kocka (Vigo) Fürdőszoba szőnyeg (50 cm x 80 cm )","1897.6378","2410","Szőnyeg|Fürdőszoba szőnyeg","8","0","0","","Premium","Darab","","","Fürdőszoba szőnyeg","","","50 cm","80 cm","50 cm x 80 cm","","","","","","","","","","","","","","","","","","","","","","","d-c-fix","4007386319791","","","","","","F2714056","Konrad Hornschuch AG","2.83","5"
